name|reviews|star
신도림 NO.25|<div class="txt">깨끗하고 좋아용 깨끗하고  좋아요깨끗하고 좋아용<br/>깨끗하고 좋아용 깨끗하고 좋아용 깨끗하고 좋아용<br/>깨끗하고 좋아용 깨끗하고 좋아용 깨끗하고 좋아용<br/>깨끗하고 좋아용 깨끗하고 좋아용 깨끗하고 좋아용</div>|<div class="num">10.0</div>
신도림 NO.25|<div class="txt">항상 잘 이용하고 있습니다. 신도림 근처에서 가장 좋아요 주변에 맛집도 많아서 편하고 좋습니다. 이마트와 디큐브시티도 가까워서 편해요! 그리고 신도림역이랑도 가까워서 이동하기도 편합니다</div>|<div class="num">10.0</div>
신도림 NO.25|<div class="txt">신도림역에서 좀 거리가 있어요 그래도 잘 이용했습니다 천장 모서리에 먼지가 좀 많아서 떨어질까봐 좀 그랬지만 다른 부분은 깨끗해 보여서 좋았어요 화장실, 샤워실이 특히 깨끗했습니다</div>|<div class="num">8.3</div>
신도림 NO.25|<div class="txt">가격 대비 방이랑 화장실도 넓고, 엄청 깨끗해서 만족했습니다. 사장님이 친절하셔서 질문할 때도 좋았습니다 ㅎㅎ 다만, 객실 내부에 있는 콘센트랑 충전기 연결이 안 되는 곳이 있습니다.... 😭 저는 이미 방을 배정받은 다음, 꽤 시간이 지났고, 다른 콘센트는 괜찮아서 그곳을 이용했습니다. 다들 콘센트에 충전기 연결이 안되면 꼭 카운터로 문의하세요!! 🙂❤️</div>|<div class="num">10.0</div>
신도림 NO.25|<div class="txt">신도림 역에서 빠른 걸음으로 10분 정도 걸립니다. 위치도 좋고 침대가 푹신푹신합니다. 넷플릭스 유튜브 다 되고 티비가 굉장히 커서 좋습니다. 가운, 타월 모두 깨끗하고 깔끔합니다. 재방문의사 있습니다. 잘 이용하고 갑니다!</div>|<div class="num">10.0</div>
신도림 NO.25|<div class="txt">깨끗하고 조용해서 잘쉬다가요 근데 주차장은 이용못했어요 직원 친절합니다</div>|<div class="num">10.0</div>
신도림 NO.25|<div class="txt">티비가 커서 좋은데 수건 여분이 있으면 좋겠네요</div>|<div class="num">8.0</div>
신도림 NO.25|<div class="txt">자주이용하지만 이번에도 굉장이 만족스럽습니다!! 부족하지 않은 주차공간으로 인해 주차 신경쓸 필요도 없고 체크인 후 주차하고 주변에서 술한잔 마시기도 너무 좋아요! 다음에도 이용할게요~</div>|<div class="num">10.0</div>
신도림 NO.25|<div class="txt">예전에 예약후 사용했을때 마음에 들어서 다시 예약했는데<br/>전보다 방이 조금 작네요. <br/>그리고 전날 숙박했던 사람이 먹다버린 쓰레기도 있고<br/>수건등도 안치운 흔적이 있습니다.<br/>그외 비흡연실 TV시설등은 좋았습니다.</div>|<div class="num">10.0</div>
신도림 NO.25|<div class="txt">깨끗하다는 리뷰가 많아서 방문했는데 생각보다 깨끗하지 않았어요..세면대,화장실,샤워공간에 머리카락이ㅠㅠ빗도정리가 안되어 있는체로 세면대 옆에 나와있구<br/><br/>무엇보다 침대에 털이ㅠ.ㅠ 기대만큼 깨끗하진 않았지만 잘 쉬다 갑니다.</div>|<div class="num">7.3</div>
신도림 NO.25|<div class="txt">콘서트때문에 양일 잤는데 둘다 깔끔하고 좋았어요ㅎ<br/>에어컨 냄새도 안나고 모기도 없었고 ㅎ화장실 물도 잘나왔는데 첫날 화장실에 쓰던 수건이 있었어요<br/>그거 빼곤 깔끔하고 편하게 잘잤어요ㅎ<br/>고척에서 공연이 또 있다면 재방문 할거에요</div>|<div class="num">10.0</div>
신도림 NO.25|<div class="txt">깔끔하고 청결하네요 <br/>방은 넓은건 아니지만 화장실이랑 샤워실이 분리되아 있어서 불편함이 없어요 좋습니다</div>|<div class="num">10.0</div>
신도림 NO.25|<div class="txt">근래 갔던 곳 중에 제일 시설 좋고 깔끔하네요! 재방문 의사 100입니다:) 방음이 잘 안되는게 조금 아쉽긴 하지만 나머지 것들이 다 너무 맘에 쏙 들어서 다음에 또 오고 싶어요!</div>|<div class="num">10.0</div>
신도림 NO.25|<div class="txt">오랜만에 신도림 쪽 놀러가서 묵게 되었습니다<br/>전부터 자주 갔었던 숙소여서 기억나서 재방문 했었네요<br/>청결도가 예전보단 조금 떨어졌던것 같지만 그래도 깔끔한 편이라 잘 쉬다 갑니다 ㅎㅎ! 수건 갯수가 줄어서 아쉬워요ㅠ</div>|<div class="num">10.0</div>
신도림 NO.25|<div class="txt">너무 좋았습니다 신도림에서는 여기만한 곳이 없는거 같아요 비 잘 피하고 갑니다 좋은 하루되세요 너무 좋았습니다 신도림에서는 여기만한 곳이 없는거 같아요 비 잘 피하고 갑니다 좋은 하루되세요</div>|<div class="num">10.0</div>
신도림 NO.25|<div class="txt">완전깨끗하구 새거에요</div>|<div class="num">10.0</div>
신도림 NO.25|<div class="txt">방 컨디션 좋습니다. 위치도 역 근처라 좋고요.<br/>다만 새벽에는 옆방 핸드폰 진동 소리가 들렸네요.</div>|<div class="num">7.3</div>
신도림 NO.25|<div class="txt">좋앗습니다 잘 쉬다 갑니다 추천합니다좋앗습니다 잘 쉬다 갑니다 추천합니다좋앗습니다 잘 쉬다 갑니다 추천합니다좋앗습니다 잘 쉬다 갑니다 추천합니다좋앗습니다 잘 쉬다 갑니다 추천합니다</div>|<div class="num">10.0</div>
신도림 NO.25|<div class="txt">사진은 찍지 못해서 아쉽지만, 신축인지 건물 내부가 완전 깨끗해요.<br/>신도림 인근에 거주하고 있는데 이런 곳을 이제야 알게 되다니 아쉽네요.<br/><br/>할게 없어서 인근 모텔을 찾아 보던 중 가성비 좋아 보이는 모텔이 있어 예약 했어요.<br/>기대보다도 더 시설이 좋았고 티비도 크고 넷플릭스도 가능하여 시간 가는 줄 몰랐네요.<br/>에어컨도 빵빵하게 나와서 더위 이겨내고 갑니다.<br/><br/>자주 이용할게요.</div>|<div class="num">10.0</div>
신도림 NO.25|<div class="txt">처음이용하는데 시설도 깔끔하고 좋았어요 프론트직원분도 친절하시고 근처 밥집이 많아서 좋았습니다. 잘 쉬다가 갑니다~~  다음에도 근처 숙박할 일이 생기면 또 이용해볼게요 감사합니다.</div>|<div class="num">10.0</div>
신도림 NO.25|<div class="txt">좋아요 깨끗하고 미러링되는 티비라 잘 놀다갑니다<br/>냉장고도 귀엽고 나쁘지않네요<br/>좋아요 깨끗하고 미러링되는 티비라 잘 놀다갑니다<br/>냉장고도 귀엽고 나쁘지않네요<br/>좋아요 깨끗하고 미러링되는 티비라 잘 놀다갑니다<br/>냉장고도 귀엽고 나쁘지않네요</div>|<div class="num">10.0</div>
신도림 NO.25|<div class="txt">직원분들도 친절하시고 좋습니다! 근처에 먹자가있어서 포장해오기도 좋고 배달시켜먹기에도 좋아요 다만 이번엔 넷플이랑 유튜브가 안되더라구요ㅠㅠ리모컨 문제는 아니였는데.. 그것만 아쉬웠습니다!</div>|<div class="num">10.0</div>
신도림 NO.25|<div class="txt">오늘도 쾌적하게 잘 이용했습니다~점점 더워지고 습해지는데 에어컨이 잘 나와서 좋았습니다~또, TV도 크고 소리도 잘 나와서 몰입해서 볼 수 있었습니다~ 각티슈도 구비되어 있어서 좋았습니다</div>|<div class="num">10.0</div>
신도림 NO.25|<div class="txt">이미지 사진이랑 똑같았고 여름이라서 객실을 시원하게 해놓으신건지 아주 시원했습니다!😊 객실청소도 깔끔하게 되어있었고 큰 TV로 넷플릭스 재밌게 봤어요. 신도림역에서 걸어가기엔 조금 무리인 것 같아 택시타고 가고 잘 쉬다갑니당~~</div>|<div class="num">8.0</div>
신도림 NO.25|<div class="txt">가격대비 진짜 괜찮아요! 완전 추천합니다 ㅎㅎ<br/>고데기도 있어서 진짜 편했어요<br/>일회용품 무상지급이고<br/>티비도 커서 좋았네요!<br/>역에서 먼 것 빼고는 다 좋았어요!<br/>자주 방문 할 것 같습니다</div>|<div class="num">10.0</div>
신도림 NO.25|<div class="txt">신도림역이랑 가까워서 좋아요. 그리고 사장님이 친절하시고 방 컨디션도 좋고 세팅도 잘 되어있고 참대도 푹신푹신해서 좋아요. 에어컨도 빵빵 수압도 짱짱 너무 좋습니다. 다음에 또 이용할게요.</div>|<div class="num">10.0</div>
신도림 NO.25|<div class="txt">신도림 근처에서 가장 괜찮은거 같아요. 다만 4시간이라 좀 짧아서 아쉽지만 청결, 티비 등등 다 좋아요. 그리고 근처애 맛집도 많아서 좋습니다. 신도림 거리공원 쪽에 있어서 산책하기도 좋아요</div>|<div class="num">10.0</div>
신도림 NO.25|<div class="txt">늘잘이용하고있습니다 근처에 먹자골목이있어서 편하고 역과의 접근성도 좋습니다! 근처에 숙박시설이 몇개 더있는데 개인적으로는 여기가 최고인거같아요 주차도 가능해서 더편하구요! 최고입니다</div>|<div class="num">10.0</div>
신도림 NO.25|<div class="txt">신도림에서 묵을 때 자주 가는 편인데 이번엔 펑소상태가 좀.... 가운도 비닐만 덩그러니 있고,,, 바닥엔 머리카락 천지,,,, 화장실에 쓴 칫솔까지 있었어요 ㅠ   도어락도 계속 오작동인지 삐삐 거려서 좀  불편했네여... ... 피곤하고 더워서 걍 썼는데 담엔 좀 잘 부탁드려요 ㅠㅠ;;;;; ㅠㅠㅓㅠㅠ 항상 좋다고 생각했었는데 이번엔 넘 심하게 느껴져서 ㅜ 그래도 지금까짖 항상 만족해왔어서 담엔 잘 해주시리라 믿고 또 방문 하겟슙니다 ㅎ;;</div>|<div class="num">10.0</div>
신도림 NO.25|<div class="txt">몇없는 신도림역 모텔즁 여기가 젤 깔끔함</div>|<div class="num">10.0</div>
신도림 NO.25|<div class="txt">변기칸과 샤워실이 따로 분리되어있어요<br/>티비가 크고 좋습니다<br/>수건 3개 있었고 일회용품 지급해줍니다<br/>깔끔하고 좋습니다</div>|<div class="num">10.0</div>
신도림 NO.25|<div class="txt">역에서는 제법 걸어야하고 인근에 회식류가 아닌 식사를 하기 어렵긴 하지만 숙소는 깔끔하고 좋았습니다.</div>|<div class="num">10.0</div>
신도림 NO.25|<div class="txt">객실이 너무 청결하고 시설도 좋았구요.<br/>잠자기 너무 편했습니다.</div>|<div class="num">10.0</div>
신도림 NO.25|<div class="txt">간만에 신도림 쪽 놀러갔는데 예전에 만족하면서 많이<br/>들렸던 곳이여서 고민없이 예약했습니다 ㅎㅎ<br/>가격도 저렴하고 실내도 넓고 청결해서 여전히 좋습니다<br/>가끔 놀러올때마다 이용할게요 ㅎㅎ</div>|<div class="num">10.0</div>
신도림 NO.25|<div class="txt">우산이 없어서 빌려달라했는데 빌려주시네요 직원분들이<br/>친절하고 깨끗합니다 다음에도 이용하겠습니다🫡</div>|<div class="num">10.0</div>
신도림 NO.25|<div class="txt">주차편하고 깨끗하고 좋아요 시설이 근처에서 최신이라 괜찮고 에어컨도 시원합니다 근처에 먹을거리도 많고 신도림에서 모텔가시려면 추천합니다 복도에도 에어컨나와서 신기합니다 추천해요~~</div>|<div class="num">10.0</div>
신도림 NO.25|<div class="txt">만족합니다 만족합니다 만족합니다 만족합니다 만족합니다 만족합니다 만족합니다 만족합니다 만족합니다 만족합니다 만족합니다 만족합니다 만족합니다 만족합니다 만족합니다 만족합니다 만족합니다 만족합니다 만족합니다 만족합니다</div>|<div class="num">10.0</div>
신도림 NO.25|<div class="txt">거리는 신도림역에서 조금 떨어져있지만 전반적으로 무난하게 쉬고 갈 수 있는 모텔이에요. 일회용품 무료로 주고 티비에 넷플이랑 유튜브 다 돼서 누워서 잘 쉬다가 갔습니다. 다음에도 방문할게요.</div>|<div class="num">10.0</div>
신도림 NO.25|<div class="txt">너무 좋았어요 근데 수건은 큰 거 1개 작은 거 2개던데 조금 더 넉넉하게 있었으면 좋겠네요 ㅎㅎ</div>|<div class="num">10.0</div>
신도림 NO.25|<div class="txt">가성비가 좋아요. 그럭저럭 만족</div>|<div class="num">10.0</div>
신도림 NO.25|<div class="txt">신도림역에서 도보로는 거리가 살짝 있고 택시타기 약간 애매한 위치에 있습니다 <br/>늦은입실이라 저녁에 놀다가 <br/>피곤했는데 숙소까지 가기 힘들었어요 ㅜㅠ<br/>숙소 청결상태는 좋은편이었고 방음도 나름 잘 되는곳이였어요 <br/>에어컨이 무척 깨끗했고 장마철이라 <br/>방은 약간 습했지만 <br/>에어컨키고 자니 괜찮았습니다 <br/>화장실도 청결하고 넓고 <br/>잠시 묵고 가기 괜찮은곳이였습니다 <br/>잘 쉬다 갑니다</div>|<div class="num">9.6</div>
신도림 NO.25|<div class="txt">내부 시설이 진짜 깔끔해요. 방도 그렇게 좁지 않구요. 특히 욕실과 화장실이 분리되어 있고 세면대도 밖에 나와있는 점이 좋았어요. 근처에 맛집들도 많고 해서 신도림 갈 때는 꼭 여기 오려구요</div>|<div class="num">10.0</div>
신도림 NO.25|<div class="txt">오픈이벤트있길래 새건물인가 해서 예약하게되었습니다. 건물 자체는 깔끔했고, 좋았습니다. 내부도 깨끗하고 추천 합니다!! 주차장에 자리도 많았고, 다음에 또 신도림온다면 여기서 잘것같아요 :)</div>|<div class="num">10.0</div>
신도림 NO.25|<div class="txt">신도림 근처이며 맛집과 마트 편의점이 있어서 너무 좋아요~~~~~ 담배냄새 안나서 자주 방문해요 <br/>침구류도 깨끗하구요~~ 넷플보면서 뒹굴거리고 더울땐 에어컨키고 누워있으면 말모!!!!!</div>|<div class="num">10.0</div>
신도림 NO.25|<div class="txt">친절하게 요구사항 응대해 주셔서...<br/>좋은 서비스로 기억되고 좋은기분만 남았습니다<br/>룸 상태도 깔끔해서 좋고<br/>시원하고 컴퓨터도 잘 되였습니다..<br/>음료와 물도 넉넉했습니다<br/>다음에도 기회되면 방문하겠습니다</div>|<div class="num">10.0</div>
신도림 NO.25|<div class="txt">객실이 무척 깨끗하게 관리가 되고 있습니다. 침구류도 바스락 거리고 습기도 없고 미리 에어컨도 틀어놔서 서늘합니다. 여름에 이렇게 시원한 곳은 처음 봤네요. 기타 비품도 다 제대로 구비되어 있어서 편하게 잘 쉬고 왔습니다</div>|<div class="num">10.0</div>
신도림 NO.25|<div class="txt">역과의 접근성도 좋고 전체적으로 깔끔합니다. 가끔 청소가 좀 덜 된방이 걸리긴하는데.. 전반적으로는 룸 컨디션도 굉장히 좋은편이라고 생각해요! 그치만 이번엔 들어가자마자 머리카락이랑 렌즈가 바닥에 보여서 조금 찝찝했네요 ㅎㅎ 그래도 잘쉬다갑니다~</div>|<div class="num">10.0</div>
신도림 NO.25|<div class="txt">객실은 깨끗하고 좋았습니다.<br/>하지한 주차장이 협소하기에 왠만하면 차량 이용은 추천하지 않습니다!!</div>|<div class="num">10.0</div>
신도림 NO.25|<div class="txt">너무너무 좋아요 담에 떠 올거 같아오</div>|<div class="num">10.0</div>
